Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
trace,ProcessExec,Deep SVDD,0.5,0.0008,0.0008,1.0,0.0017,0.0008,0.0615
trace,ProcessExec,DAE,0.9342,0.023,0.0397,0.7556,0.0754,0.9846,0.1299
trace,ProcessExec,VAE,0.764,0.0059,0.1667,0.0222,0.0392,0.9991,0.1389
trace,ProcessExec,Beta-VAE,0.762,0.002,0.0042,0.0667,0.0078,0.986,0.1342
trace,ProcessExec,GMVAE,0.7918,0.0058,0.0571,0.0444,0.05,0.9986,0.1344
trace,ProcessExec,Attention AE,0.8382,0.0032,0.0041,0.9111,0.0082,0.8177,0.6336
trace,ProcessExec,LSTMAE,0.9404,0.5464,0.75,0.6667,0.7059,0.9995,0.9311
trace,ProcessExec,Robust,0.9739,0.6224,0.6792,0.8,0.7347,0.9995,0.116
trace,ProcessExec,Contractive,0.766,0.0038,0.0364,0.0444,0.04,0.9982,0.1114
trace,ProcessNetflow,Baseline,0.9842,0.5948,0.6275,0.8889,0.7356,0.9829,0.007
trace,ProcessNetflow,Sparse,0.7682,0.0801,0.0909,0.9722,0.1663,0.739,0.006
trace,ProcessNetflow,Deep SVDD,0.9889,0.7214,0.7561,0.8611,0.8052,0.9888,0.005
trace,ProcessNetflow,DAE,0.986,0.5758,0.66,0.9167,0.7674,0.9851,0.007
trace,ProcessNetflow,VAE,0.6821,0.0534,0.0557,0.9444,0.1053,0.5703,0.011
trace,ProcessNetflow,Beta-VAE,0.6954,0.0485,0.0546,0.9722,0.1034,0.5487,0.008
trace,ProcessNetflow,GMVAE,0.7668,0.0799,0.0909,0.9722,0.1663,0.739,0.006
trace,ProcessNetflow,Attention AE,0.7574,0.0789,0.0909,0.9722,0.1663,0.739,0.024
trace,ProcessNetflow,LSTMAE,0.9862,0.6175,0.6471,0.9167,0.7586,0.9844,0.015
trace,ProcessNetflow,Robust,0.9839,0.5862,0.6154,0.8889,0.7273,0.9822,0.009
trace,ProcessNetflow,Contractive,0.7666,0.0793,0.0909,0.9722,0.1663,0.739,0.006
trace,ProcessParent,Baseline,0.936,0.1865,0.1827,0.8444,0.3004,0.9966,0.121
trace,ProcessParent,Sparse,0.8763,0.2969,0.5185,0.6222,0.5657,0.9992,0.1335
trace,ProcessParent,Deep SVDD,0.5111,0.0082,0.3333,0.0222,0.0417,0.9991,0.0594
trace,ProcessParent,DAE,0.9265,0.2186,0.3684,0.6222,0.4628,0.9988,0.1345
trace,ProcessParent,VAE,0.875,0.0591,0.1256,0.6222,0.209,0.996,0.127
